No,Control Short,Duration,To Do,Evidence,Assigned to
1,Update all the policy into keka and get acknowledgement from the employees.,Annually,Update all the policy into keka and get acknowledgement from the employees.,All policy in keka,
2,Code of Conduct,,"It will be verified, whether it is in place or not.",Employee handbook and acknowledged employee handbook,Preeja
3,Signed NDA,Monthly,"New employees are expected to sign NDA before joining. It will be verified based on the new employees list, ask any one of the employee's NDA agreement.","appointment letter, new joiners list from keka, consultant agreement",Preeja
4,Acceptable Use policy,Annually,Employee's expected to acknowledge AUP policy during the onboarding process.,Acknowledged Acceptable use policy list,Preeja
5,Complaints and Feedback,,"Employee's will share their complaints and feedback through keka, and clients will share it through mail",,Preeja
6,MRM_CISO Meetings,Quarterly,"A MRM meeting has to be held headed by CEO to discuss the security level, changes, technology trends, occurrence of incidents, and security initiatives (06 months once)","Security review meeting invite, DAST pdf",Monisa
7,Business meetings,weekly,Business meetings has to be recorded in terms of invite and minutes on a routine basis (per week once minimum),BA meeting email snapshot,Preeja
8,Organisation Charts,Monthly,"Charts need to be updated, once any new employee joined.(based on the employee role). These charts are expected to communicate with the employees as well (Keka)","Org chart document snapshot, Organisation chart from keka",Preeja
9,ISMS Policy,Annually,Its need to be update annually or when relevant. Need to get approval if changes were made in the policy.,,Preeja
10,CISO Responsibilities,,Inspected CISO responsibilities to determine that Information Security activities are included.,"Org chart document snapshot, CISO job description",Preeja
11,Key roles and responsibilities,Monthly,"Based on organization chart, job descriptions for all critical functions willl be validated whether the responsibilities, reporting lines and communication mechanism are clearly defined.","Org chart document snapshot, Full Stack python jd, aws certified engineer- jd, oscp- jd",Preeja
12,HR Policies,Annually,"It will be verified, whether it is documented or not.","Snapshot of attached policies in keka, employee handbook",Preeja
13,JD in place,Monthly,a sample of job description to determined that requirements for each role are documented and are evaluated as part of the hiring process.,"New joiner lists from keka, aws certified engineer -jd, full stack python developer jd, Mobile application developer-flutter JD, Senior React.js Front-end developer, oscp jd",Preeja
14,Offer letter & Appointment letter,Monthly,New employees appointment letter - signed has to be collected and maintained.,"New joiners lists from keka, appointment letter",Preeja
15,Manpower planning,Monthly,Meetings has to be conducted periodically for planning the resources. (Meeting minutes & invite),Team Review discussion - meet invite,Monisa
16,External BGV,Monthly,New joiners BGV reports will be verified.,"New joiner lists from keka, BGV initiation email, BGV evidence tracker, BGV report",Preeja
17,New Hire Functional Training,Monthly,"Attendance log for training, resource document or pdf, periodic training calendar.","New joiner lists from keka, HR induction session pdf, attendance log of training",Preeja
18,ISMS Training,Monthly,"Attendance log for training, resource document or pdf, periodic training calendar.","New joiner lists from keka, Training video, HR induction session pdf, periodic training calendar, attendance log(form response)",Preeja
19,Refresher Training on ISMS,Annually,Information security training has to conducted atleast yearly once. (attendance),"Training calendar, Security Awareness Form screenshots, form response screenshots",Preeja
20,Training Calendar,,Have to draft a training calendar or 2026,Training calendar,Preeja
21,Roles and Responsibilities,Monthly,"In job descriptions, roles and responsibilities is expected to be mentioned.","Senior React.js Frontend Developer - JD, AWS Certified Engineers - JD, Full Stack python developer JD, Mobile Application Developer - Flutter JD",Preeja
22,Performance Appraisals,Annually,performance appraisals has to be there atleast annually (Evidence - Keka),Appraisal letter dashboard screenshot from keka,Preeja
23,System Access Review,Monthly,"Based on hr records, system access will be reviewed by the IT team on monthly basis","Redacted - All employee list with their working status, System Access Review Verification Email",Ajith
24,Network Diagram,,Already have it.,,Murugesh
25,Client Escalation matrix,,,Attached Email Snapshot of Escalation contacts.,Manoj
26,Client Contracts with Confidentiality Clause,Monthly,It determins that terms related to delivery of services such as availability and confidentiality are covered in contracts. It will be verified.,Attached HD service agreement,Manoj
27,Complaints,Monthly,Employees should raise an issue only through keka helpdesk. Complaints fromt the clients are expected to be sent through mail.,"All keka tickets(Excel), Roots email snapshot (complaint from customer)",Preeja
28,Changes to system boundaries,Monthly,Any changes in the system will be communicated internally and externally by CISO,,Preeja
29,Reporting of incidents to external users,Monthly,Incident reporting emails from clients/external users will be validated.,Email snapshot of incident - ( 09 Dec 2025),Manoj
30,Risk Management Policy,,policy in place -> Have to maintain risk register,No evidence attached,Karthikeyan
31,Risk Assessment,Annually,"Risk assessment conducted annually on assets, threats to security are identified and assessed. Also, consider emerging technologies and system changes when performing risk assessment.",No evidence attached,Karthikeyan
32,Ratings of risks,,"Ratings are expected to be there in risk assessment report (impact, likelihood, risk)",No evidence attached,Karthikeyan
33,Privacy in risk register,,Threats related to privacy also be included in the risk assessment report(risk register),No evidence attached,Karthikeyan
34,Patch Management,Monthly,"AWS inspector - regular patch update evidence. If possible, have to fiind a way to update windows directly through AD",AWS - patch manager dashboard screenshot,Vinoth
35,Review of incidents in committee meetings,Monthly,attached security incident tickets in keka and have to conduct meet with management have discussion about the incidents periodically,"Security incident tickets - keka(Excel), security incident meeting invite",Karthikeyan
36,Firewall logs,Monthly,Log review conducted monthly by it team and get approval from CISO.,"Firewall rules screenshot, meraki november logs, Firewall review email",Ajith
37,Closure of VAPT Gaps,Monthly,Done internally on applications (reports),No evidence attached,Preeja
38,Segregration of duties,,,No evidence attached,Preeja
39,Cloud infrastructure,,"Manually verified configuration in cloud environments such as database, storage, servers, networks and load balancers.",AWS cloud dashboard screenshot,Murugesh
40,Endpoint protection for WFH Staff,,we have VPN. but not attached any evidence for this.,No evidence attached,Ajith
41,Access Management policy,Annually,Policy in place.,,Preeja
42,Access Management Least Privileges,Monthly,"Process should be drafted, by default, we need to assign least privilege, any further privilege needs to get approval.",No evidence attached,Preeja
43,No access to external users,,External users cannot access our network systems. (N/A),No evidence attached,
44,Active Directory,Monthly,a user sign on process and AD Group policy screenshot,Active Directory Group policy screenshot,Ajith
45,Creating client user accounts on cloud application,Monthly,Client requests for user setup within application to determine that users are created by entity only against authorised client request.(Email proof),Client account setup request mail screenshot,Vinoth
46,Userid for non AD accounts,,Enquired with IT Head that systems not using Active directory have separate user id and password requirement,No evidence attached,Ajith
47,IAM on cloud infra,,AWS IAM settings and groups will be verified. only production groups are expected to access the production resources.,"Screenshot of user settings in AWS console for the production group, IAM user list screenshot",Vinoth
48,ssh access for cloud,,"PUTTY, ssh keypairs will be verified","Screenshot showing SSH is used for accessing cloud, ssh keypairs, putty snapshot",Vinoth
49,Cloud Infra MFA,Monthly,implement MFA for all the cloud users.,No evidence attached,Vinoth
50,Remote working policy,,,,
51,Software list,,IT Department expected to maintain up-to-date list of all software users can install on systems,list of softwares maintained by it team(Excel),Ajith
52,Asset Register,Monthly,Monthly audit on assets (Report) and data from keka helpdesk tickets(excel),"Asset report screenshot, Nov month helpdesk tickets and asset report (excel)",Preeja
53,Account sharing prohibited,Monthly,Account sharing is prohibited unless approved by management.(if it's there) - need approval mail,No evidence attached,Preeja
54,"VPN, TLS or other transit encryption.",Annually,Employees list -> for those who have access to VPN,VPN users list,Ajith
55,Password policy in AD,,"In AD GPO, password policy in place.",AD password policy screenshot,Ajith
56,Domain Controller / AD,,Group policy and authentication process(combination of username and password) will be verified.,Active Directory Group Policy,Ajith
57,Whitelisted IPs,Monthly,Whitelisting specific ip's to reach office network(ex: WFH employees)  Required: Firewall console allowing whitelisting ip - Meraki,Meraki whitelist screenshot or document,Ajith
58,Classification of Data,Annually,Data classification policy in place,,Preeja
59,Cloud admin access,Monthly,Cloud management console will be inspected to determine that admin/root access is restricted. Any further user into admin/root privilege needs to get approval.,IAM > user groups > Admin_group users dashboard screenshot,Vinoth
60,VPN for cloud server,Monthly,"Auditors will observe the admin login process, ensure it is MFA enabled.",Screenshot of MFA while logging into the cloud servers,Vinoth
61,Email from HR to IT for Joiners and Leavers,Monthly,"evidence for exit process initiation, HR informing IT team on last working day to deactivate_delete the user ID, exit checklist for terminated/relieved employees","exit process initiation mail, HR set tasks to IT Team to remove access, exit checklist",Preeja
62,Privileged access is restricted,,"Evidence for IAM user dashboard screenshot to check if its restricted only to IT team, AD Admin, IT team employee list.","IT team employee list, AD domain admin page screenshot",Ajith
63,No access to non employees,,No evidence required.,No evidence attached,Preeja
64,Privileged access approvals,Monthly,Admin access approval from CISO - wriiten approval in the form of access request.,"Access approval mail, users with admin privileges list, privileged access review mail verification",Ajith
65,Privileged Access Reviews,Monthly,"Entire admin list - AD, AWS and other platforms, it has to reviewed periodically and get approval from CISO",privileged access review mail verification,Ajith
66,Role based access,,"Active directory - policy groups based on department (Designing, Marketing, Developer, HR, IT, Security)","Firewall Group policies, AD Group policy, Group policy management full screenshot",Ajith
67,Role based access - cloud,,IAM - user groups based on department (Admin and developer group),"defining security groups based on departments and roles, IAM user groups dashboard screenshot",Murugesh
68,Reactivation prohibited,,Mentioned in policy - No evidence required.,No evidence attached,
69,Exit Formalities,Monthly,"Recently exited employees list, Access revocation mail from hr to IT team, Exit checklist","Off boarded employee list,HR set tasks to IT Team to remove access, Exit Task checklist",Preeja
70,Office Entry is restricted,,Biometric is implementing while entering and exiting premises.,Entrance biometric system - photograph,Mary
71,CCTV,,Captured photograph of CCTV and monitoring system,CCTV Camera and TV for monitoring CCTV - photograph,Mary
72,Security Guard,,Presented at the entry of office premises. Attached photograph,Image of security guard at entrance,Mary
73,Visitor Register,Quarterly,They might check entry on random dates. Have to ensure visitor register is entered properly,Image of entrance register,Mary
74,Visitor Badges,,Visitor ID photograph,Image of visitor badge,Mary
75,Visitor Escorting,,No evidence required - need physical verification,,Mary
76,Employee picture ID cards,,Photocopy of ID card,Image of employee id card with their image,Mary
77,Physical Access Setup by HR,Monthly,"New joiners list, Welcome email into hrms portal, Task/checklist to provide access(biometric)","New joiner list from keka, employee welcome email into keka, Biometric task completion",Preeja
78,Sensitive Areas Physical Access Review periodically,Monthly,attached biometric log. It has to reviewed periodically,Biometric reconcilliation pdf,Preeja
79,Revocation of Physical Access,Monthly,"Exited employees list, access removal screenshot(system,git,email,biometric)","Exited employees list, access removal by admin(keka task), Git access removal email request, exited employee - biometrics removal",Preeja
80,Return ID cards,Monthly,Biometric ID handover task status screenshot,"Exited employees list, returning ID card completion task",Preeja
81,Physical Access Reconciliation,Monthly,physical access review - biometric log (confirm the exited employees has no access). It has to reviewed quarterly,Biometric reconcilliation pdf,Preeja
82,Sharing of badges,,Mentioned in policy - No evidence required.,,Mary
83,Media handling policy,Annually,policy in place.,,Preeja
84,Media Reuse / Disposal,,,,
85,Firewall installation,Monthly,"Firewall config, active alerts, inbound and outbound rules, firewall console","Meraki firewall config, meraki active alert dashboard screenshot, Firewall console, Firewall inbound and outbound rules screenshot",Ajith
86,cloud firewall,,"AWS WAF console, WAF rules, Security groups attached.","Screenshot of VPC setup, AWS WAF rules screenshot, EC2 security groups screenshot",Vinoth
87,Application logs,Monthly,"Cloudtrial logs, Application log alert, alert mail from cloudtrial","Cloud trail event history screenshot, Application log alert, Alert mail from cloudtrail",Vinoth
88,Whitelisted incoming traffic,,Inbound and outbound traffic rules - Meraki screenshot,Firewall inbound and outbound rules screenshot,Ajith
89,Content-Filtering,,Firewall settings for content filtering based on category - Screenshot,Content filtering screenshot from meraki,Ajith
90,Firewall admin access,,Firewall admin access to IT team -> firewall admin list attached,Firewall administrators list,
91,No data outside production for DR,,no evidence required.,,
92,Active Directory,Monthly,"List of AD users, List of AD User systems",No evidence attached,Ajith
93,Data Encryption,Monthly,"Data Encryption - KMS Screenshot, Backup encryption (Data at rest)","Data Encryption enabled in AWS cloud Screenshot, backup encryption in AWS screenshot",Murugesh
94,Removable media prohibited,,"AD policy in Media restriction, USB restriction","Domain media restriction Group policy, Policy for USB restrictions",Ajith
95,SSH / SSL connection to Cloud environment,,"AWS screenshot dashboard, Evidence for using SSH to access cloud.","AWS dashboard screenshot, Screenshot showing SSH is used for accessing cloud",Murugesh
96,Encryption policy,Annually,policy in place.,,Preeja
97,Encrypted VPN connections,Monthly,"VPN access screenshot, userlist with VPN access, VPN account creation approvals.",Screenshot of employee accessing VPN,Ajith
98,SSL connections for cloud hosted applications.,,SSL certificate screenshot,AWS - SSL certificate screenshot,Vinoth
99,Laptop Encryption,,We have not implemented it.,,
100,Backup Media Encryption,Monthly,AWS backup encryption screenshot,backup encryption in AWS screenshot,Murugesh
101,Cloud DB encryption,Monthly,DB encryption enabled screenshot,Screenshot of AWS Cloud DB encryption enabled,Murugesh
102,Antivirus Installed,Monthly,"Norton console, Antivirus updates, Alerts from Antivirus, Verification email (monthly audit)","Antivirus installed dashboard, antivirus security history, antivirus updates, alerts from Antivirus, Antivirus audit - report approval email,  Admin console screenshot",Ajith
103,Regular Update of AV Definitions,Monthly,"Antivirus updates, systems list, antivirus configurations","Antivirus updates, systems list, antivirus installed dashboard",Ajith
104,Local admin access,Monthly,"admin access approval mail, local admin user list (AD)","Domain admin lists from AD, AD local admin list, AD GPO",Ajith
105,Reporting of virus detected,Monthly,Norton alert screenshot,No evidence attached,Preeja
106,Configuration standards,,no evidence attached.,no evidence attached.,
107,Internal Vulnerability Scans,Monthly,Attached VA report and email screenshot (might need meeting minutes with management),"DAST Report, Report email, Security Review email invite",Karthikeyan
108,Configuration Changes are approved,Annually,Configuration change requires approval from CISO,"Configuration approval - (email screenshot) March 25, 2025",Monisa
109,Alerts from firewall for suspicious activity,Monthly,Firewall alert dashboard and alert email screenshot,Meraki active alert dashboard screenshot,Ajith
110,IT Help desk support,Monthly,"IT support ticket list, email request screenshot",IT support tickets(excel) and password reset request for email (email screenshot),Ajith
111,Incident Tracker,Monthly,Keka dashboard with all incident ticket list,Keka dashboard with all incident ticket list - Screenshot,Preeja
112,Incident ticket details captured,,"incident tickets, any one of the ticket with detailed page.","All incident tickets list (excel), anyone incident with full information (keka screenshot)",Preeja
113,Change Management for repeated incidents,,,No evidence attached,
114,RCA for incidents,,Sample of incident reports with Root Cause Analysis on Critical/ Major incidents.,"Email screenshot for alerting sensitive security issue, Same issue reporting in keka",
115,Change management policy,Annually,Policy in place.,,Preeja
116,SDLC policy,Annually,Policy in place.,,Preeja
117,Change request tracker,Monthly,change request list and change approval mail,"Change request list(jira), Change approval mail screenshot",Monisa
118,Development Peer review,Monthly,change request reviewed by other dev - screenshot,change request reviewed by other dev - Github screenshot,Monisa
119,Static code analysis,Monthly,SAST report - Sonarqube,SAST complete report,Karthikeyan
120,Regression Testing,Quarterly,"list of releases, release notes, feature test result, regression test results.","List of releases(email screenshot), Pillar Release notes Dec doc, feature test results, regression test results",Monisa
121,Software code on GIT/SVN,,Git profile screenshot,DataTerrain Git profile screenshot,Monisa
122,QA testing / UAT Testing,,"change request sample, QA/UAT Testing","Change request list(jira), Change approval mail screenshot",Monisa
123,Release plan / UAT testing,Annually,"Change request list, release notes, SDLC document","List of releases(email screenshot), Pillar Release notes Dec doc, Release UAT (Git pull request), SDLC(servicedesk screenshot)",Monisa
124,Separate environment for changes,,"Screenshot of having three different env (dev,test,prod)",Separate environments screenshot,Murugesh
125,Rollback plans,,No evidence attached.,,
126,Communication of changes,,No evidence attached.,,
127,Segregation of Roles in change management,Annually,policy in place.,No evidence attached.,Preeja
128,Risk Assessment considers changes,,No evidence attached.,No evidence attached.,
129,High Severity incidents require changes,,No evidence attached.,No evidence attached.,
130,Emergency Changes or Emergency Access Procedures,,No evidence attached.,No evidence attached.,
131,Testing data is masked,,Dummy data in test environment - screenshot,Dummy data in test environment - screenshot (anyone user profile),Monisa
132,Emergency Changes or Emergency Access Procedures,,No evidence attached.,No evidence attached.,
133,BCP Plan and documentation,Annually,policy in place.,No evidence attached.,Preeja
134,Vendor Selection Process,,No evidence attached.,No evidence attached.,
135,"Audit reports, SOC reports for Vendors",,No evidence attached.,No evidence attached.,
136,Cloud Infra processing capacity - CloudWatch,Monthly,AWS cloudwatch alarm screenshot,AWS cloudwatch alarm screenshot,Murugesh
137,Environmental Controls,Quarterly,"Have to review periodically - Fire extinguishers, CCTV, fire sprinklers, smoke detectors",photographs of CCTV cameras and fire extinguishers,Mary
138,"UPS, DG",,"Attached images of UPS, DG - need physical verification",photographs of DG and UPS,Mary
139,ISP redundancy,,Attached network diagram with two different ISP,Attached network diagram with two different ISP,Ajith
140,Environmental Maintenance,Annually,UPS And Generator AMC  -> conducted periodically,"UPS_AMC, Generator AMC",Mary
141,Backup policy,Annually,policy in place.,,Preeja
142,Automated backup scripts,Monthly,"automated backup list, backup configurations","Backup list snapshot, backup additional configuration screenshot",Murugesh
143,Alerts for failed backup,Monthly,Alerts for failed backup screenshot,Alerts for failed backup screenshot,Murugesh
144,No backup on external drives,,No evidence attached.,No evidence attached,
145,BCP Testing,Annually,Audit conducted annually on BCP,BCP audit report,Murugesh
